ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,Electronics-Be,Electronics,969.31,1005,Kilimanjaro Co.
2001,Electronics-Be,Clothing,412.35,2004,JALL
2002,Office-Family,Clothing,866,345,JALL
2003,Electronics-Training,Clothing,385.18,4900,Kilimanjaro Co.
2004,Office-Where,Home,927.25,514,Tloma 
2005,Office-Huge,Home,428.78,876,Tloma 
2006,Office-Class,Clothing,198,65,Tloma 
2007,Clothing-Over,Electronics,583.39,"10,000",JALL
2008,Electronics-Skin,Home,66.59,456,JALL
2009,Office-Raise,Clothing,66.31,5667,Kilimanjaro Co.
2010,Electronics-Themselves,Clothing,77.84,8776,Kilimanjaro Co.
2011,Electronics-Religious,Clothing,409.74,2345,JALL
2012,Clothing-Artist,Electronics,623.19,4589,JALL
2013,Office-Cultural,Home,935.36,3458,Kilimanjaro Co.
2014,Clothing-Eat,Home,246.3,546,Tloma 
2015,Office-Itself,Clothing,674.97,665,Tloma 
2016,Home-He,Office,323.02,990,Tloma 
2017,Electronics-Feeling,Electronics,463.7,7890,JALL
2018,Electronics-Nature,Electronics,542.26,7546,JALL
2019,Home-History,Clothing,933.93,144,Kilimanjaro Co.
2020,Electronics-Share,Clothing,375.83,345,Kilimanjaro Co.
2021,Clothing-Skill,Office,835.41,5678,JALL
2022,Home-Economy,Electronics,671.18,6599,JALL
2023,Home-Yeah,Electronics,939.54,5400,Kilimanjaro Co.
2024,Clothing-Paper,Home,124.27,679,Tloma 
2025,Electronics-Assume,Clothing,279.62,740,Tloma 
2026,Clothing-Use,Home,211.56,800,Tloma 
2027,Home-Purpose,Office,258.61,1005,JALL
2028,Electronics-Take,Electronics,637.94,2004,JALL
2029,Home-Yourself,Electronics,13.51,4900,Kilimanjaro Co.
2030,Clothing-First,Home,169.97,897,Kilimanjaro Co.
2031,Office-Develop,Office,565.3,514,Kilimanjaro Co.
2032,Electronics-There,Electronics,945.6,876,Tloma 
2033,Clothing-Argue,Electronics,836.25,789,Tloma 
2034,Clothing-Feel,Office,136.17,"9,999",Tloma 
2035,Home-According,Home,899.99,456,JALL
2036,Electronics-Candidate,Home,217.98,5667,JALL
2037,Clothing-Meeting,Electronics,360.14,8776,Kilimanjaro Co.
2038,Office-Soon,Clothing,926.51,2345,Kilimanjaro Co.
2039,Clothing-Need,Clothing,976.44,4589,JALL
2040,Clothing-Determine,Office,34.54,3458,JALL
2041,Home-Assume,Office,804.21,546,Kilimanjaro Co.
2042,Clothing-Lawyer,Home,167.61,665,Tloma 
2043,Electronics-Practice,Office,873.45,990,Tloma 
2044,Office-Society,Clothing,207.58,7890,Tloma 
2045,Office-Next,Home,312.14,7546,JALL
2046,Clothing-Worry,Clothing,33.43,144,JALL
2047,Clothing-Hair,Office,334.98,345,Kilimanjaro Co.
2048,Electronics-Candidate,Home,357.63,5678,Kilimanjaro Co.
2049,Office-Easy,Home,939.84,6599,Kilimanjaro Co.
2050,Electronics-Young,Home,186.78,5400,Tloma 
2051,Home-Century,Electronics,117.32,679,Tloma 
2052,Office-Year,Home,731.26,740,Tloma 
2053,Home-Ground,Office,610.15,800,JALL
2054,Electronics-Above,Office,900.51,354,JALL
2055,Clothing-Politics,Home,53.94,8990,Kilimanjaro Co.
2056,Office-About,Electronics,524.72,7890,Kilimanjaro Co.
2057,Clothing-Identify,Home,436.98,690,JALL
2058,Home-Wear,Home,666.75,694,JALL
2059,Electronics-Clear,Home,512.05,980,Kilimanjaro Co.
2060,Office-Term,Home,408.38,1299,Tloma 
2061,Home-Quite,Clothing,199.92,1500,Tloma 
2062,Office-Receive,Clothing,619.36,990,Tloma 
2063,Home-Good,Office,552.46,7890,JALL
2064,Electronics-Stop,Home,294.04,7546,JALL
2065,Office-Animal,Home,470.34,144,Kilimanjaro Co.
2066,Office-Occur,Clothing,516.06,345,Kilimanjaro Co.
2067,Clothing-Remain,Electronics,290.95,5678,Kilimanjaro Co.
2068,Home-Read,Electronics,820.24,6599,Tloma 
2069,Clothing-Garden,Home,232.39,5400,Tloma 
2070,Clothing-About,Clothing,34.18,679,Tloma 
2071,Clothing-Success,Office,615.16,740,JALL
2072,Electronics-Become,Office,420.3,800,JALL
2073,Clothing-Executive,Office,499.43,354,Kilimanjaro Co.
2074,Clothing-Strong,Clothing,659.5,8990,Kilimanjaro Co.
2075,Electronics-Letter,Electronics,780.64,7890,JALL
2076,Clothing-Affect,Clothing,806.07,690,JALL
2077,Office-Ball,Electronics,561.83,694,Kilimanjaro Co.
2078,Electronics-Film,Office,142.01,980,Tloma 
2079,Office-Who,Home,950.54,1299,Tloma 
2080,Office-Doctor,Office,832.26,1500,Tloma 
2081,Office-Light,Clothing,746.22,990,JALL
2082,Office-Figure,Office,266.6,,JALL
2083,Clothing-Cut,Home,768.16,7546,Kilimanjaro Co.
2084,Office-Stuff,Clothing,281.85,144,Kilimanjaro Co.
2085,Electronics-Officer,Home,242.15,345,Kilimanjaro Co.
2086,Home-Of,Home,894.1,5678,Tloma 
2087,Electronics-Rather,Clothing,159.32,6599,Tloma 
2088,Office-Evening,Clothing,709.35,5400,Tloma 
2089,Electronics-Action,Office,413.52,679,JALL
2090,Office-Staff,Office,71.64,740,JALL
2091,Office-Mrs,Office,905.79,800,Kilimanjaro Co.
2092,Electronics-Add,Office,482.21,354,Kilimanjaro Co.
2093,Home-Real,Home,755.94,8990,JALL
2094,Office-Fight,Clothing,493.35,7890,JALL
2095,Home-Seem,Office,490.79,690,Kilimanjaro Co.
2096,Office-Discuss,Home,672.18,694,Tloma 
2097,Office-Recent,Clothing,842.1,980,Tloma 
2098,Clothing-Trouble,Electronics,907.86,1299,Tloma 
2099,Electronics-Several,Electronics,646.32,1500,JALL
,,,,990,
