TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountAmount,State
1,5/4/2025,1034,2059,402,0,2048.2,20,MO
2,5/4/2025,1066,2048,403,1,321.87,17,MN
3,5/4/2025,1116,2041,403,3,3216.84,25,IA
4,5/4/2025,1071,2096,404,2,1613.23,10,TX
5,5/4/2025,1020,2060,401,0,408.38,5,MO
6,5/4/2025,1089,2028,401,0,1275.88,20,MN
7,5/4/2025,1193,2003,402,1,346.66,5,IA
8,5/4/2025,1005,2079,402,1,855.49,10,TX
9,5/4/2025,1032,2060,401,1,735.08,60,MO
10,5/4/2025,1119,2089,403,2,661.63,50,MN
11,5/4/2025,1042,2077,401,,505.65,25,IA
12,5/4/2025,1079,2013,401,2,0,1,TX
13,5/4/2025,1147,2086,404,3,4470.5,20,MO
14,5/4/2025,1183,2025,401,1,503.32,17,MN
15,5/4/2025,1026,2089,403,0,413.52,25,IA
16,5/4/2025,1144,2005,403,3,1715.12,10,TX
17,5/4/2025,1169,2047,401,2,535.97,5,MO
18,5/4/2025,1003,2053,404,0,3660.9,20,MN
19,5/4/2025,1110,2046,404,1,30.09,5,IA
20,5/4/2025,1111,2022,403,3,671.18,10,TX
21,5/4/2025,1119,2055,403,2,?,60,MO
22,5/4/2025,1062,2011,403,3,1229.22,50,MN
23,5/4/2025,1062,2096,404,3,672.18,25,IA
24,5/4/2025,1086,2003,404,2,924.43,1,TX
25,5/4/2025,1046,2062,402,2,1981.95,20,MO
26,5/4/2025,1066,2043,403,2,698.76,17,MN
27,5/4/2025,1142,2001,402,0,1237.05,25,IA
28,5/4/2025,1061,2092,404,3,482.21,10,TX
29,5/4/2025,1142,2097,402,3,4210.5,5,MO
30,5/4/2025,1165,2091,404,3,4528.95,20,MN
31,2023-13-01,1004,2011,403,1,737.53,5,IA
32,5/4/2025,1103,2088,402,2,0,10,TX
33,5/4/2025,1169,2074,403,3,0,60,MO
34,5/4/2025,1141,2067,403,3,872.85,50,MN
35,5/4/2025,1190,2070,403,2,54.69,25,IA
36,5/4/2025,1179,2058,403,2,1066.8,1,TX
37,5/4/2025,1064,2029,401,1,12.16,20,MO
38,5/4/2025,1080,2015,402,1,3037.36,17,MN
39,5/4/2025,1055,2094,404,2,1578.72,25,IA
40,5/4/2025,1185,2075,403,0,0,10,TX
41,5/4/2025,9999,2037,402,2,288.11,5,MO
42,5/4/2025,1045,2038,401,1,1667.72,20,MN
43,5/4/2025,1070,2005,401,2,686.05,5,IA
44,5/4/2025,1178,2016,404,0,0,10,TX
45,5/4/2025,1003,2073,403,3,1498.29,60,MO
46,5/4/2025,1122,2056,403,1,944.5,50,MN
47,5/4/2025,1013,2032,404,0,2836.8,25,IA
48,5/4/2025,1016,2051,404,0,117.32,1,TX
49,5/4/2025,1147,2080,401,1,0,0,MO
50,5/4/2025,1038,2072,403,0,840.6,20,MN
51,5/4/2025,1063,2015,404,1,1214.95,17,IA
52,5/4/2025,1198,2066,404,3,516.06,25,TX
53,5/4/2025,1113,2038,404,2,2223.62,10,MO
54,5/4/2025,1145,2079,401,0,1901.08,5,MN
55,5/4/2025,1195,2026,402,2,507.74,20,IA
56,5/4/2025,1169,2010,402,1,140.11,5,TX
57,5/4/2025,1044,2070,401,1,0,10,MO
58,5/4/2025,1000,2052,404,3,2193.78,60,MN
59,5/4/2025,1074,2004,402,2,741.8,50,IA
60,5/4/2025,1180,2036,404,0,217.98,25,TX
61,5/4/2025,1175,2029,403,1,36.48,1,MO
62,5/4/2025,1108,2014,402,1,221.67,20,MN
63,5/4/2025,1068,2018,401,0,2169.04,17,IA
64,5/4/2025,1042,2039,403,3,2929.32,25,TX
65,5/4/2025,1031,2059,403,3,0,10,MO
66,5/4/2025,1069,2064,404,3,1470.2,5,MN
67,5/4/2025,1020,2076,401,3,4836.42,20,IA
68,5/4/2025,1188,2041,403,0,1608.42,5,TX
69,5/4/2025,1023,2029,401,2,0,10,MO
70,5/4/2025,1147,2005,402,3,0,60,MN
71,5/4/2025,1132,2083,404,2,614.53,50,IA
72,5/4/2025,1046,2074,404,3,659.5,25,TX
73,5/4/2025,1023,2060,403,3,1225.14,1,MO
74,5/4/2025,1085,2041,401,1,1447.58,20,MN
75,5/4/2025,1084,2052,404,2,2925.04,17,IA
76,5/4/2025,1169,2051,401,3,117.32,25,TX
77,5/4/2025,1022,2040,403,2,55.26,10,MO
78,5/4/2025,1029,2098,404,0,3631.44,5,MN
79,5/4/2025,1168,2069,404,3,232.39,20,IA
80,5/4/2025,1013,2024,403,3,372.81,5,TX
81,5/4/2025,1160,2056,401,1,472.25,10,MO
82,5/4/2025,1068,2070,402,2,109.38,60,MN
83,5/4/2025,1112,2089,404,0,2067.6,50,IA
84,5/4/2025,1007,2080,402,1,1498.07,25,TX
85,5/4/2025,1079,2070,401,3,34.18,1,MO
86,5/4/2025,1023,2028,401,3,2551.76,20,MN
87,5/4/2025,1030,2082,402,3,799.8,17,IA
88,5/4/2025,1183,2037,403,3,2160.84,25,TX
89,5/4/2025,1123,2060,402,3,2450.28,10,MO
90,5/4/2025,1141,2018,404,1,2440.17,5,MN
91,5/4/2025,1153,2065,402,0,470.34,20,IA
92,5/4/2025,1070,2098,404,2,0,5,TX
93,5/4/2025,1129,2034,401,2,108.94,10,MO
94,5/4/2025,1185,2038,404,1,1667.72,60,MN
95,5/4/2025,1114,2068,404,2,656.19,50,IA
96,5/4/2025,1085,2070,404,3,0,25,TX
97,5/4/2025,1082,2024,402,3,372.81,1,MO
98,5/4/2025,1059,2099,404,0,1292.64,20,MN
99,5/4/2025,1081,2095,404,3,490.79,17,IA
100,5/4/2025,1098,2084,402,3,0,25,TX
101,5/4/2025,1009,2016,403,0,969.06,10,MO
102,5/4/2025,1112,2012,404,0,1869.57,5,MN
103,5/4/2025,1184,2018,404,1,488.03,20,IA
104,5/4/2025,1019,2060,403,2,0,5,TX
105,5/4/2025,1159,2088,404,0,0,10,MO
106,5/4/2025,1084,2086,404,2,2861.12,60,MN
107,5/4/2025,1160,2091,404,0,905.79,50,IA
108,5/4/2025,1158,2008,402,2,159.82,25,TX
109,5/4/2025,1058,2095,401,3,2453.95,1,MO
110,5/4/2025,1025,2097,401,3,842.1,0,MN
111,5/4/2025,1042,2088,403,0,709.35,20,IA
112,5/4/2025,1011,2041,401,2,0,17,TX
113,5/4/2025,1091,2047,404,1,0,25,MO
114,5/4/2025,1062,2067,404,1,0,10,MN
115,5/4/2025,1043,2022,401,3,2684.72,5,IA
116,5/4/2025,1158,2087,402,3,477.96,20,TX
117,5/4/2025,1149,2018,402,3,1626.78,5,MO
118,5/4/2025,1163,2032,404,2,756.48,10,MN
119,5/4/2025,1170,2001,404,2,659.76,60,IA
120,5/4/2025,1173,2069,402,0,464.78,50,TX
121,5/4/2025,1113,2044,403,3,0,25,MO
122,5/4/2025,1176,2032,404,2,756.48,1,MN
123,5/4/2025,1050,2049,404,0,2819.52,20,IA
124,5/4/2025,1060,2048,403,2,1144.42,17,TX
125,5/4/2025,1179,2037,401,3,1440.56,25,MO
126,5/4/2025,1070,2001,401,3,0,10,MN
127,5/4/2025,1073,2099,402,2,0,5,IA
128,5/4/2025,1056,2081,402,2,0,20,TX
129,5/4/2025,1173,2096,402,0,672.18,5,MO
130,5/4/2025,1160,2082,401,2,426.56,10,MN
131,5/4/2025,1112,2004,403,1,1669.05,60,IA
132,5/4/2025,1023,2037,403,3,2160.84,50,TX
133,5/4/2025,1044,2025,402,2,223.7,25,MO
134,5/4/2025,1135,2064,403,1,793.91,1,MN
135,5/4/2025,1065,2061,403,2,639.74,20,IA
136,5/4/2025,1029,2059,401,1,921.69,17,TX
137,5/4/2025,1193,2028,404,2,1531.06,25,MO
138,5/4/2025,1023,2050,401,2,298.85,10,MN
139,5/4/2025,1137,2015,404,2,539.98,5,IA
140,5/4/2025,1172,2095,403,3,2453.95,20,TX
141,5/4/2025,1163,2047,401,1,301.48,5,MO
142,5/4/2025,1120,2003,403,1,1039.99,10,MN
143,5/4/2025,1165,2008,404,2,53.27,60,IA
144,5/4/2025,1166,2052,401,1,658.13,50,TX
145,5/4/2025,1011,2004,403,3,3709,25,MO
146,5/4/2025,1029,2012,402,1,0,1,MN
147,5/4/2025,1099,2058,403,3,666.75,20,IA
148,5/4/2025,1150,2095,402,3,490.79,17,TX
149,5/4/2025,1167,2012,404,3,0,25,MO
150,5/4/2025,1071,2004,403,1,834.52,10,MN
151,5/4/2025,1113,2056,402,2,839.55,5,IA
152,5/4/2025,1025,2087,403,2,0,20,TX
153,5/4/2025,1015,2050,403,1,504.31,5,MO
154,5/4/2025,1031,2058,401,1,2400.3,10,MN
155,5/4/2025,1164,2081,401,0,2984.88,60,IA
156,5/4/2025,1085,2031,402,1,508.77,50,TX
157,5/4/2025,1017,2097,402,1,757.89,25,MO
158,5/4/2025,1059,2042,402,0,0,1,MN
159,5/4/2025,1070,2018,402,2,0,20,IA
160,5/4/2025,1044,2014,401,1,886.68,17,TX
161,5/4/2025,1003,2045,402,2,499.42,25,MO
